#                 x                   p
     0.386934673367       101828.771547
     0.391959798995       101829.155994
     0.396984924623       101829.633819
     0.402010050251       101830.245239
     0.407035175879       101831.055319
     0.412060301508       101832.164042
     0.417085427136       101833.715492
     0.422110552764       101835.874058
     0.427135678392       101838.743745
      0.43216080402       101842.186069
     0.437185929648       101845.656383
     0.442211055276       101848.405929
     0.447236180905       101850.009837
     0.452261306533        101850.91488
     0.457286432161       101852.093324
     0.462311557789       101853.758046
     0.467336683417       101855.349385
     0.472361809045       101856.560906
     0.477386934673       101857.420912
     0.482412060302       101858.047063
      0.48743718593        101858.56468
     0.492462311558       101859.031678
     0.497487437186       101859.508978
     0.502512562814       101860.070648
     0.507537688442       101860.730817
      0.51256281407        101861.44854
     0.517587939698        101862.17799
     0.522613065327        101862.89807
     0.527638190955       101863.596448
     0.532663316583       101864.262902
     0.537688442211        101864.92078
     0.542713567839       101865.582372
     0.547738693467       101866.255315
     0.552763819095       101866.950718
     0.557788944724       101867.660436
     0.562814070352        101868.38245
      0.56783919598       101869.110796
     0.572864321608       101869.829614
     0.577889447236       101870.526028
     0.582914572864       101871.189856
     0.587939698492       101871.804595
     0.592964824121       101872.367859
     0.597989949749       101872.893617
     0.603015075377        101873.37966
     0.608040201005       101873.819782
     0.613065326633       101874.210532
     0.618090452261       101874.556373
     0.623115577889       101874.862574
     0.628140703518       101875.126354
     0.633165829146       101875.350056
     0.638190954774       101875.542068
     0.643216080402       101875.706475
      0.64824120603       101875.854315
     0.653266331658       101875.992611
     0.658291457286       101876.109197
     0.663316582915       101876.200077
     0.668341708543       101876.265836
     0.673366834171       101876.295806
     0.678391959799       101876.267014
     0.683417085427       101876.269408
     0.688442211055       101876.349048
     0.693467336683       101876.402798
     0.698492462312       101876.406259
      0.70351758794       101876.384319
     0.708542713568       101876.333609
     0.713567839196       101876.240756
     0.718592964824       101876.163137
     0.723618090452       101876.139569
      0.72864321608       101876.119068
     0.733668341709       101876.061425
     0.738693467337       101875.964462
     0.743718592965       101875.848274
     0.748743718593       101875.718553
     0.753768844221       101875.607996
     0.758793969849       101875.525254
     0.763819095477       101875.413661
     0.768844221106       101875.279322
     0.773869346734       101875.135839
     0.778894472362       101875.002619
      0.78391959799       101874.943813
     0.788944723618       101874.931321
     0.793969849246       101874.906079
     0.798994974874       101874.868393
     0.804020100503       101874.827642
     0.809045226131       101874.805822
     0.814070351759       101874.780572
     0.819095477387       101874.778835
     0.824120603015        101874.80945
     0.829145728643       101874.820015
     0.834170854271       101874.857449
     0.839195979899       101874.912022
     0.844221105528       101874.917902
     0.849246231156        101874.94551
     0.854271356784       101874.995853
